# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = real_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = real_data.R
# init = 2 (Default)
# random
#   seed = 4174009954
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1.1,theta1.2,theta1.3,theta1.4,lambda.1,lambda.2,sigma,V0,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,V_hat.1.1,V_hat.2.1,V_hat.3.1,V_hat.4.1,V_hat.5.1,V_hat.6.1,V_hat.1.2,V_hat.2.2,V_hat.3.2,V_hat.4.2,V_hat.5.2,V_hat.6.2,V0s.1,V0s.2,j,i,LL
# Adaptation terminated
# Step size = 0.0560406
# Diagonal elements of inverse mass matrix:
# 0.745958, 0.999055, 0.532509, 0.400807, 0.901723, 0.626497, 0.0095346, 6.28627
71.0572,0.987215,0.0560406,5,31,0,-68.1352,1.00168,0.260346,0.427169,0.598948,1.81002,0.133819,0.706369,0.00404161,1.00168,0.260346,1.81002,0.427169,0.598948,0.133819,0,0,0,0,0,0,0.0143071,0.0325693,0.0712989,0.196087,0.381405,0.481962,0,0.00404161,6,1,1.051
72.4506,0.996134,0.0560406,5,63,0,-69.7198,0.827433,0.415093,0.417999,1.09927,2.33475,0.285782,0.680118,0.00265178,0.827433,0.415093,2.33475,0.417999,1.09927,0.285782,0,0,0,0,0,0,0.00923711,0.0210794,0.0474439,0.150042,0.391853,0.616702,0,0.00265178,6,1,1.24979
70.7554,0.922976,0.0560406,5,63,0,-69.7696,1.0291,0.323196,0.491467,0.775835,2.48697,-0.0292594,0.664418,0.000878246,1.0291,0.323196,2.48697,0.491467,0.775835,-0.0292594,0,0,0,0,0,0,0.00382217,0.0101302,0.0264928,0.103794,0.312562,0.499042,0,0.000878246,6,1,-2.47777
66.5992,0.791699,0.0560406,5,31,0,-62.8125,1.3953,0.230679,0.554832,0.670121,3.5084,0.797985,0.651908,0.000922944,1.3953,0.230679,3.5084,0.554832,0.670121,0.797985,0,0,0,0,0,0,0.00484741,0.014491,0.0421052,0.175275,0.43673,0.569745,0,0.000922944,6,1,1.37643
67.418,0.994738,0.0560406,5,31,0,-63.1973,0.92428,0.399268,0.271809,0.958294,3.4653,-0.21443,0.733916,0.00538858,0.92428,0.399268,3.4653,0.271809,0.958294,-0.21443,0,0,0,0,0,0,0.0120934,0.0206394,0.0350014,0.0756274,0.155468,0.239669,0,0.00538858,6,1,-8.25759
69.3443,0.949622,0.0560406,7,191,0,-63.1082,0.239085,1.57795,0.282837,0.7689,1.64016,-0.106149,0.848704,0.0159582,0.239085,1.57795,1.64016,0.282837,0.7689,-0.106149,0,0,0,0,0,0,0.0362752,0.0616549,0.102312,0.202938,0.350495,0.458216,0,0.0159582,6,1,0.995669
66.8072,0.955317,0.0560406,5,31,0,-61.5595,0.201505,0.71301,0.316773,0.667869,2.19199,0.270234,0.867269,0.0206311,0.201505,0.71301,2.19199,0.316773,0.667869,0.270234,0,0,0,0,0,0,0.0508699,0.0898049,0.151236,0.287786,0.442117,0.525473,0,0.0206311,6,1,3.14379
66.5344,0.972246,0.0560406,6,95,0,-62.6092,0.29138,0.711604,0.211227,0.715226,2.0362,0.0165872,0.701167,0.0214102,0.29138,0.711604,2.0362,0.211227,0.715226,0.0165872,0,0,0,0,0,0,0.0393075,0.0582876,0.0852762,0.145375,0.232215,0.302636,0,0.0214102,6,1,-4.78183
68.8742,0.979702,0.0560406,5,31,0,-65.7611,0.458133,0.783677,0.336654,0.66303,1.29628,0.124041,0.749683,0.00730033,0.458133,0.783677,1.29628,0.336654,0.66303,0.124041,0,0,0,0,0,0,0.0196653,0.0374899,0.0697199,0.161731,0.311435,0.42076,0,0.00730033,6,1,-0.77379
70.6614,0.99192,0.0560406,5,31,0,-63.8875,0.470706,0.471093,0.345127,0.8264,1.55328,-0.00699643,0.775121,0.00933234,0.470706,0.471093,1.55328,0.345127,0.8264,-0.00699643,0,0,0,0,0,0,0.0257535,0.0498149,0.0937252,0.218866,0.41618,0.553048,0,0.00933234,6,1,2.72274
