# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = model_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.R
# init = 2 (Default)
# random
#   seed = 4087703769
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1.1,theta1.2,theta1.3,theta1.4,lambda.1,lambda.2,sigma,V0.1,V0.2,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6
# Adaptation terminated
# Step size = 0.0148212
# Diagonal elements of inverse mass matrix:
# 0.0218095, 0.718346, 0.0215487, 0.0739149, 0.0149962, 0.31435, 0.0221287, 0.028735, 0.0363412
112.268,0.990002,0.0148212,8,255,0,-109.499,0.267683,1.34489,0.44719,0.797538,0.672806,0.93235,0.00776013,0.0224822,0.0121369,0.267683,1.34489,0.672806,0.44719,0.797538,0.93235
113.457,0.819014,0.0148212,8,255,0,-107.152,0.272431,0.411973,0.443517,1.11096,0.524715,1.3212,0.00769334,0.0255193,0.0140563,0.272431,0.411973,0.524715,0.443517,1.11096,1.3212
111.23,0.252803,0.0148212,8,255,0,-109.058,0.295365,0.357017,0.421639,0.846635,0.526201,0.882294,0.0103831,0.0248196,0.0143544,0.295365,0.357017,0.526201,0.421639,0.846635,0.882294
113.055,0.929034,0.0148212,7,223,0,-105.814,0.296068,0.596122,0.387474,0.672184,0.659672,0.370125,0.00874196,0.0209473,0.0145495,0.296068,0.596122,0.659672,0.387474,0.672184,0.370125
115.104,0.960109,0.0148212,8,383,0,-110.885,0.27184,2.1034,0.404004,0.921919,0.729941,0.838856,0.00894153,0.0218102,0.0146834,0.27184,2.1034,0.729941,0.404004,0.921919,0.838856
112.749,0.999967,0.0148212,7,127,0,-109.169,0.257284,3.16453,0.436213,0.750517,0.71064,0.775774,0.010659,0.0234548,0.0122265,0.257284,3.16453,0.71064,0.436213,0.750517,0.775774
109.231,0.973104,0.0148212,7,127,0,-108.119,0.260463,2.32969,0.465197,0.681241,0.724659,0.730143,0.0109002,0.0238292,0.0100845,0.260463,2.32969,0.724659,0.465197,0.681241,0.730143
107.882,0.98937,0.0148212,7,255,0,-98.8607,0.278785,0.469191,0.39256,0.668209,0.575742,0.442237,0.0101125,0.0214297,0.0136851,0.278785,0.469191,0.575742,0.39256,0.668209,0.442237
113.044,0.990854,0.0148212,7,255,0,-105.459,0.238145,3.65325,0.368282,0.883744,0.652159,0.664637,0.00985524,0.0257959,0.0175862,0.238145,3.65325,0.652159,0.368282,0.883744,0.664637
112.699,0.956845,0.0148212,7,255,0,-110.4,0.231019,2.84216,0.380189,0.913465,0.609477,0.734982,0.0110947,0.0281499,0.0176394,0.231019,2.84216,0.609477,0.380189,0.913465,0.734982
