# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = real_model_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = real_data.R
# init = 2 (Default)
# random
#   seed = 4166733226
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1.1,theta1.2,theta1.3,theta1.4,lambda.1,lambda.2,sigma,V0,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6
# Adaptation terminated
# Step size = 0.0909249
# Diagonal elements of inverse mass matrix:
# 1.10562, 0.900138, 0.453338, 0.249102, 0.453292, 0.498811, 0.00542469, 2.92607
73.909,0.997555,0.0909249,4,31,0,-70.0112,0.697973,0.203137,2.13377,0.21711,0.707599,2.24175,0.906622,0.812392,0.697973,0.203137,0.707599,2.13377,0.21711,2.24175
70.8007,0.97967,0.0909249,5,31,0,-64.7887,1.90654,0.0909971,0.54953,0.334601,0.824465,0.371701,1.04861,0.090347,1.90654,0.0909971,0.824465,0.54953,0.334601,0.371701
72.9389,0.988478,0.0909249,5,63,0,-65.8583,2.00736,0.26127,0.257035,0.465911,1.48393,0.0723929,0.991306,0.0181543,2.00736,0.26127,1.48393,0.257035,0.465911,0.0723929
77.3985,0.98926,0.0909249,5,31,0,-71.0901,0.720407,0.18534,0.452496,0.587232,1.14866,1.13767,0.891249,0.00903307,0.720407,0.18534,1.14866,0.452496,0.587232,1.13767
77.9536,0.933384,0.0909249,5,31,0,-74.5301,1.64293,0.141588,0.320713,0.608298,0.991899,0.456187,0.841946,0.0389588,1.64293,0.141588,0.991899,0.320713,0.608298,0.456187
76.8392,0.371257,0.0909249,6,95,0,-75.1316,1.67919,0.185523,0.332851,0.425888,1.20103,0.413074,0.847267,0.0304021,1.67919,0.185523,1.20103,0.332851,0.425888,0.413074
77.1346,0.925754,0.0909249,5,31,0,-73.8013,1.02279,0.107242,0.32896,0.862254,0.153097,0.399234,0.904344,0.0120409,1.02279,0.107242,0.153097,0.32896,0.862254,0.399234
77.8391,0.923389,0.0909249,5,31,0,-75.1307,1.60655,0.169411,0.338031,1.48045,0.530464,0.427944,0.913355,0.00976727,1.60655,0.169411,0.530464,0.338031,1.48045,0.427944
79.1828,0.987589,0.0909249,5,31,0,-75.8137,0.341124,0.391589,0.22498,1.1677,2.26348,0.382997,0.762154,0.0286266,0.341124,0.391589,2.26348,0.22498,1.1677,0.382997
76.0299,0.971103,0.0909249,4,15,0,-72.6064,0.333463,0.319838,0.135443,0.906909,2.02411,-0.082129,0.768149,0.0755876,0.333463,0.319838,2.02411,0.135443,0.906909,-0.082129
78.4464,0.998464,0.0909249,5,31,0,-75.5705,1.04536,0.219031,0.550398,0.671842,1.49544,0.600724,0.895809,0.00180395,1.04536,0.219031,1.49544,0.550398,0.671842,0.600724
78.5797,0.979922,0.0909249,5,63,0,-70.8745,0.178929,1.88682,0.238935,0.781406,1.09135,0.0452169,0.936744,0.0358139,0.178929,1.88682,1.09135,0.238935,0.781406,0.0452169
78.436,0.990352,0.0909249,5,31,0,-76.7303,0.164736,1.16453,0.326656,0.718775,0.802858,0.955547,0.943014,0.0407313,0.164736,1.16453,0.802858,0.326656,0.718775,0.955547
79.2034,0.986297,0.0909249,5,31,0,-76.4437,0.237754,1.93519,0.239886,1.86494,1.16013,0.236736,0.850489,0.0220154,0.237754,1.93519,1.16013,0.239886,1.86494,0.236736
78.5661,0.77961,0.0909249,4,15,0,-76.4146,0.160177,1.74167,0.159261,2.00792,1.19784,0.095479,0.86742,0.0479419,0.160177,1.74167,1.19784,0.159261,2.00792,0.095479
78.9171,0.711211,0.0909249,5,31,0,-73.6892,0.236443,0.846731,0.237269,1.61381,2.18862,0.643568,0.879979,0.0208047,0.236443,0.846731,2.18862,0.237269,1.61381,0.643568
78.1604,0.986377,0.0909249,5,31,0,-76.7646,0.258604,1.7996,0.285458,1.47359,1.878,0.191924,0.90282,0.012975,0.258604,1.7996,1.878,0.285458,1.47359,0.191924
79.3791,0.80934,0.0909249,5,31,0,-74.6138,0.217992,1.573,0.244781,1.05981,1.217,-0.125959,0.792642,0.0243044,0.217992,1.573,1.217,0.244781,1.05981,-0.125959
77.5966,0.975081,0.0909249,5,31,0,-76.0039,0.149702,1.27115,0.253904,0.943621,2.05777,1.87129,0.919362,0.0790161,0.149702,1.27115,2.05777,0.253904,0.943621,1.87129
